userId,movieId,rating,timestamp,user_enc,movie_enc
608,3986,2.5,1117491697,607,1863
279,51255,4.0,1506394315,278,2905
4,3358,3.0,964622758,3,1635
39,1610,4.0,974788126,38,846
380,1210,5.0,1493419767,379,641
434,788,1.0,1271039355,433,436
555,2193,5.0,978822670,554,1119
603,735,4.0,963178124,602,416
604,553,4.0,832080841,603,352
68,53000,4.5,1261623163,67,2929
155,592,3.0,961861424,154,366
610,104913,3.5,1493846199,609,3444
480,7150,3.5,1179165586,479,2463
387,6811,1.5,1117430896,386,2400
220,2947,4.0,1257736388,219,1464
414,7156,4.0,1077505441,413,2468
186,379,4.0,1031080255,185,249
542,8528,1.0,1163388112,541,2562
15,4720,5.0,1510571736,14,2045
159,186,3.0,1508640386,158,122
19,3316,2.0,965703425,18,1625
483,64957,4.0,1291838765,482,3086
495,19,4.5,1458636447,494,18
98,1207,4.0,1532458353,97,638
313,1080,1.0,1030557819,312,575
292,1017,4.5,1265679891,291,539
137,588,4.0,1204859525,136,363
111,117851,3.5,1516156036,110,3516
599,1042,2.0,1519139368,598,560
232,3809,3.5,1078875782,231,1805
68,1391,3.0,1158532870,67,775
364,783,3.0,869443802,363,432
414,47122,2.0,1216149896,413,2856
514,260,5.0,1533871727,513,169
217,1240,2.0,955935759,216,668
418,7361,5.0,1461865991,417,2498
608,45499,4.0,1189380858,607,2827
560,8604,3.5,1469677591,559,2566
63,81845,4.5,1443200952,62,3245
479,842,2.0,1039362294,478,457
212,33794,4.0,1523216467,211,2711
132,8983,3.5,1157924140,131,2622
450,1544,4.0,974705331,449,824
602,293,3.0,840875901,601,189
15,69757,4.0,1299425345,14,3136
268,2580,4.0,940173069,267,1312
103,912,5.0,1431954433,102,483
47,81932,4.0,1496205315,46,3247
272,177765,5.0,1533490600,271,3642
305,59421,3.5,1518198907,304,3026
201,1584,5.0,941211417,200,834
489,8957,0.5,1332774937,488,2610
86,1835,4.0,1343944861,85,926
610,3623,3.0,1479542001,609,1740
294,2134,3.0,966596184,293,1086
42,1246,5.0,996214893,41,674
18,1223,4.5,1455050616,17,654
448,432,3.0,1019128694,447,275
292,7573,4.0,1332678587,291,2522
514,3052,3.0,1533945514,513,1513
247,6874,3.5,1467644187,246,2409
91,31696,4.0,1112717235,90,2681
199,2706,1.0,1093802585,198,1354
555,1603,3.0,978842001,554,844
217,1021,1.0,955944758,216,543
381,364,4.0,1164877278,380,237
424,1884,3.5,1457844157,423,940
610,49530,3.0,1493845930,609,2888
135,21,3.0,1009691915,134,20
534,783,4.0,1459787996,533,432
17,3263,4.0,1305696358,16,1603
453,3852,3.0,972621091,452,1820
103,750,3.5,1431954454,102,424
182,741,5.0,1054779791,181,419
111,8368,4.0,1516143167,110,2552
600,1084,3.5,1237859157,599,579
298,5530,0.5,1447599502,297,2217
45,7173,5.0,1091305731,44,2476
387,40732,3.5,1182314248,386,2771
305,380,3.0,1460136302,304,250
557,4306,4.5,1452797727,556,1965
166,48774,4.5,1189038374,165,2877
474,1366,4.0,1014924339,473,756
64,34,4.5,1161520212,63,31
232,56367,4.5,1206992376,231,2989
20,3948,3.5,1054037203,19,1845
352,57368,4.5,1493674445,351,3002
279,1213,3.5,1506394210,278,644
489,34,2.0,1333101391,488,31
27,316,4.0,962685941,26,201
560,45950,2.5,1469652704,559,2842
477,5265,3.0,1200946997,476,2157
117,60,3.0,844163754,116,46
160,457,2.0,971115082,159,293
402,500,5.0,849601504,401,317
414,4161,3.0,997709153,413,1929
274,5573,2.5,1172030771,273,2225
462,73023,4.0,1265661674,461,3173
40,337,5.0,832059189,39,214
105,60069,5.0,1446573690,104,3034
414,1810,3.0,961518026,413,921
270,17,4.0,853918728,269,16
559,1391,3.0,865096039,558,775
514,2301,2.0,1534114012,513,1159
560,2700,3.5,1469654099,559,1351
234,2613,4.0,1004408558,233,1322
398,1278,4.0,1311207208,397,706
542,45447,3.5,1163387680,541,2826
103,1073,4.0,1431957110,102,571
182,3717,2.5,1055151127,181,1776
610,8781,3.0,1493849106,609,2581
307,141,2.5,1186086587,306,91
279,119145,4.0,1506394589,278,3523
287,3033,4.0,1110230672,286,1502
599,3784,2.0,1519184378,598,1798
438,6709,3.0,1105664714,437,2378
140,1204,5.0,942841471,139,636
580,4014,4.0,1167792400,579,1881
249,116797,4.0,1437616733,248,3509
336,2001,3.5,1120568116,335,1003
132,3977,2.5,1157922922,131,1855
216,3300,4.0,975211428,215,1620
527,1246,4.0,1033174269,526,674
84,1193,4.0,858772258,83,626
87,5618,5.0,1296109045,86,2232
318,58998,3.0,1325866776,317,3019
517,596,3.5,1487956672,516,370
237,31410,3.0,1410632592,236,2675
322,46723,4.0,1217677367,321,2847
381,586,1.0,1164877371,380,361
414,1093,3.0,961436657,413,586
525,81845,4.0,1476476523,524,3245
132,318,4.5,1329983827,131,203
506,58998,5.0,1424486961,505,3019
165,5502,4.0,1046741616,164,2210
531,1291,5.0,1032961840,530,719
409,2997,3.0,971546335,408,1487
40,48,2.0,832059371,39,41
294,1953,4.0,966597412,293,970
304,1,5.0,881428344,303,0
198,4718,1.0,1034196010,197,2043
608,30822,4.0,1117408717,607,2669
144,1079,4.0,1137323857,143,574
472,2840,4.0,1345842966,471,1417
132,44191,3.0,1329983574,131,2804
551,2000,4.0,1504926132,550,1002
414,6541,1.5,1094957857,413,2350
387,4643,3.0,1094938537,386,2032
105,2731,4.0,1448195454,104,1372
294,2458,4.0,966597167,293,1258
68,7046,2.0,1275957577,67,2447
573,6754,4.5,1186722140,572,2385
288,2245,3.0,975692708,287,1132
387,2259,2.5,1152860827,386,1138
232,52973,4.0,1182906718,231,2927
454,8950,3.5,1279547135,453,2609
484,3177,4.0,1342300169,483,1565
569,590,4.0,849190587,568,365
21,66934,0.5,1419794430,20,3104
226,8636,4.0,1095663535,225,2572
474,3269,2.0,1047043940,473,1609
76,1278,4.0,1439167548,75,706
308,5444,3.5,1421375233,307,2194
354,3798,3.5,1200865508,353,1803
263,5380,3.0,1026158404,262,2185
414,8950,4.5,1102297567,413,2609
325,800,4.0,1039396510,324,439
232,64034,4.0,1261435237,231,3076
369,3638,3.0,1236830508,368,1746
76,608,4.0,1439166078,75,374
68,95,3.5,1158532180,67,73
582,94864,4.0,1446794052,581,3358
600,454,2.5,1237759124,599,291
542,3052,4.5,1163387685,541,1513
483,1997,2.5,1181496762,482,1001
522,6283,4.0,1325711214,521,2312
368,2105,2.0,975829472,367,1065
603,2991,3.0,953926995,602,1484
41,48780,3.0,1458939668,40,2878
213,46723,4.0,1316197069,212,2847
217,296,2.0,955942837,216,190
534,87869,3.0,1459787997,533,3299
313,1610,3.0,1030476239,312,846
156,587,3.0,1106854759,155,362
304,1377,2.0,891173614,303,765
461,91500,0.5,1505935430,460,3333
561,3703,4.5,1491092016,560,1770
212,45447,3.5,1505400123,211,2826
182,4025,2.5,1054782430,181,1891
217,1920,3.0,955942698,216,955
381,595,3.0,1168662656,380,369
484,596,5.0,1342299287,483,370
27,3836,4.0,965149368,26,1816
274,47,4.0,1171172762,273,40
75,589,4.5,1158989827,74,364
263,2770,2.0,940383024,262,1390
437,1246,3.0,859721495,436,674
597,1129,5.0,941729657,596,601
604,112,4.0,832080961,603,83
511,90866,4.0,1522156049,510,3325
453,110,5.0,972621723,452,81
414,54256,1.5,1216145464,413,2947
494,480,3.0,1000384075,493,306
4,2076,4.0,945079052,3,1045
313,4226,4.0,1030556047,312,1941
43,552,5.0,848994239,42,351
537,80906,5.0,1424461829,536,3233
128,1136,4.0,899033506,127,606
318,91542,3.5,1424797386,317,3336
180,1242,3.5,1270237513,179,670
111,69844,4.0,1516140986,110,3138
68,2657,1.5,1316322202,67,1335
520,6365,3.5,1326609671,519,2328
330,47,3.0,1285904519,329,40
489,587,4.0,1333101434,488,362
201,293,3.0,940350410,200,189
318,2294,3.0,1346840920,317,1155
18,48394,4.0,1455049848,17,2873
34,8622,2.0,1163954952,33,2569
391,5299,3.0,1030945301,390,2167
128,926,5.0,899033362,127,495
294,610,4.0,966633851,293,376
368,1298,3.0,971274910,367,725
305,3527,4.0,1460135999,304,1708
224,1721,5.0,971811594,223,893
302,786,4.0,854472122,301,435
596,81845,3.5,1535708438,595,3245
441,2716,5.0,1449070509,440,1360
149,1200,3.0,902084798,148,632
274,6936,3.0,1171759395,273,2419
453,2723,4.0,972622080,452,1366
